,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
θ/δ标准差,1.93,1.82,2.02,1.86,1.70,1.92,1.73,1.80,1.71,1.83,1.14,1.21,1.63,1.30,1.55,1.52
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),6.62,6.30,7.08,6.59,6.14,6.81,6.33,6.51,6.48,6.88,4.01,4.20,5.76,4.82,5.73,5.78
δ/θ均值,1.22,1.21,0.98,0.98,0.97,0.95,0.88,0.90,0.73,0.72,1.67,1.74,1.13,1.11,0.94,0.82
δ/θ标准差,0.52,0.55,0.49,0.54,0.59,0.52,0.58,0.56,0.59,0.55,0.88,0.83,0.61,0.77,0.64,0.66
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),2.77,2.86,2.47,2.60,2.73,2.51,2.62,2.57,2.49,2.36,4.31,4.23,2.98,3.41,2.87,2.79
α/β均值,2.01,2.13,2.83,3.03,3.31,3.63,4.47,4.38,5.86,6.49,1.27,1.27,2.55,3.12,3.72,4.97
α/β标准差,6.04,4.24,5.69,5.73,6.45,6.62,6.08,8.04,4.64,6.18,6.76,4.79,4.99,4.17,2.86,5.98
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),20.14,14.86,19.91,20.23,22.66,23.50,22.71,28.50,19.78,25.03,21.56,15.66,17.51,15.62,12.28,22.90
