,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
δ均值,4.09,4.15,4.28,4.29,4.13,3.95,3.75,3.97,4.04,4.04,2.68,3.01,2.23,2.23,3.02,3.03
δ标准差,1.86,1.85,2.69,2.71,2.88,2.80,2.03,2.55,1.74,1.81,1.32,1.47,1.14,1.94,1.44,2.00
θ均值,3.35,3.42,4.36,4.35,4.25,4.18,4.24,4.43,5.53,5.60,1.60,1.72,1.97,2.02,3.23,3.68
θ标准差,3.60,3.37,5.43,5.03,4.92,5.36,3.52,4.59,2.97,3.31,1.50,1.78,1.86,2.53,2.23,3.05
α1均值,3.37,3.50,4.39,4.40,4.40,4.33,4.56,4.72,6.44,6.73,1.54,1.65,1.94,2.04,3.67,4.32
α1标准差,2.08,2.14,3.00,2.99,3.00,3.34,2.40,3.38,2.30,3.35,0.86,1.06,1.14,1.42,1.95,2.68
α2均值,2.22,2.42,2.97,3.00,3.59,3.64,5.83,5.77,10.39,11.65,1.02,1.12,1.65,2.17,4.18,6.34
α2标准差,4.03,4.18,5.83,5.19,7.40,7.10,8.12,8.83,10.09,10.58,2.43,2.36,3.57,3.34,6.75,8.57
α3均值,2.19,2.26,2.69,2.70,3.21,3.32,4.61,4.65,6.26,6.77,1.16,1.35,2.19,2.44,3.26,3.93
α3标准差,1.52,1.74,2.67,2.31,3.90,3.66,5.42,5.30,6.08,7.11,0.93,0.81,2.28,2.14,3.06,5.42
β均值,3.87,3.84,3.55,3.34,3.39,3.11,3.36,3.45,3.94,3.88,2.92,3.24,2.27,2.13,2.99,2.94
β标准差,1.26,1.90,2.02,1.83,2.22,2.13,2.62,2.18,3.98,3.40,0.62,0.88,1.40,1.65,4.12,2.79
δ均值,4.09,4.15,4.28,4.29,4.13,3.95,3.75,3.97,4.04,4.04,2.68,3.01,2.23,2.23,3.02,3.03
δ标准差,1.86,1.85,2.69,2.71,2.88,2.80,2.03,2.55,1.74,1.81,1.32,1.47,1.14,1.94,1.44,2.00
θ均值,3.35,3.42,4.36,4.35,4.25,4.18,4.24,4.43,5.53,5.60,1.60,1.72,1.97,2.02,3.23,3.68
θ标准差,3.60,3.37,5.43,5.03,4.92,5.36,3.52,4.59,2.97,3.31,1.50,1.78,1.86,2.53,2.23,3.05
α均值,7.78,8.18,10.05,10.09,11.20,11.29,15.00,15.13,23.09,25.15,3.72,4.12,5.78,6.64,11.11,14.59
α标准差,7.63,8.05,11.50,10.50,14.30,14.10,15.94,17.51,18.47,21.04,4.21,4.23,6.99,6.90,11.76,16.66
β均值,3.87,3.84,3.55,3.34,3.39,3.11,3.36,3.45,3.94,3.88,2.92,3.24,2.27,2.13,2.99,2.94
β标准差,1.26,1.90,2.02,1.83,2.22,2.13,2.62,2.18,3.98,3.40,0.62,0.88,1.40,1.65,4.12,2.79
θ/β均值,0.87,0.89,1.23,1.31,1.25,1.35,1.26,1.28,1.41,1.44,0.55,0.53,0.87,0.95,1.08,1.25
θ/β标准差,2.85,1.77,2.69,2.75,2.22,2.52,1.34,2.11,0.75,0.97,2.41,2.02,1.32,1.53,0.54,1.10
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),9.42,6.21,9.30,9.55,7.91,8.90,5.29,7.61,3.64,4.36,7.78,6.58,4.84,5.54,2.71,4.54
(δ+θ)/(α+β)均值,0.64,0.63,0.63,0.64,0.57,0.57,0.44,0.45,0.35,0.33,0.64,0.64,0.52,0.48,0.44,0.38
(δ+θ)/(α+β)标准差,0.61,0.52,0.60,0.63,0.47,0.50,0.30,0.36,0.21,0.21,0.58,0.64,0.36,0.52,0.23,0.26
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),2.48,2.20,2.44,2.53,1.99,2.07,1.33,1.54,0.98,0.96,2.39,2.55,1.59,2.05,1.14,1.16
δ/α均值,0.53,0.51,0.43,0.42,0.37,0.35,0.25,0.26,0.18,0.16,0.72,0.73,0.39,0.34,0.27,0.21
δ/α标准差,0.24,0.23,0.23,0.26,0.20,0.20,0.13,0.15,0.09,0.09,0.31,0.35,0.16,0.28,0.12,0.12
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),1.26,1.19,1.13,1.20,0.97,0.95,0.63,0.70,0.46,0.42,1.66,1.77,0.88,1.18,0.64,0.57
θ/δ均值,0.82,0.82,1.02,1.02,1.03,1.06,1.13,1.11,1.37,1.39,0.60,0.57,0.88,0.90,1.07,1.21
