,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
δ均值,4.33,4.38,4.85,4.68,4.20,4.41,4.03,4.07,3.49,3.43,2.96,2.86,2.56,2.51,3.62,3.68
δ标准差,7.23,7.70,7.28,7.54,6.22,6.64,6.52,6.15,5.43,5.50,4.97,5.11,4.86,4.74,5.76,5.56
θ均值,3.91,4.08,4.62,4.66,4.12,4.29,3.94,3.99,4.06,3.93,2.38,2.50,2.11,2.11,3.42,3.48
θ标准差,6.10,6.44,7.90,7.69,6.13,6.73,6.11,5.94,5.30,5.33,3.92,4.10,3.66,3.72,5.21,5.15
α1均值,4.01,4.19,4.78,4.82,4.33,4.56,4.20,4.28,4.53,4.28,2.43,2.58,2.10,2.13,3.58,3.68
α1标准差,4.79,4.88,6.22,6.09,5.45,5.56,4.96,4.78,4.59,4.91,2.91,2.90,2.40,2.37,4.17,4.16
α2均值,3.21,3.30,3.78,3.76,3.95,3.98,4.87,5.04,7.04,7.42,2.23,2.22,2.16,2.10,3.76,3.82
α2标准差,6.65,6.93,8.27,8.08,8.41,9.07,8.21,9.23,9.78,10.24,4.36,4.67,3.71,3.79,7.46,8.10
α3均值,2.73,2.82,3.22,3.22,3.55,3.57,4.17,4.19,4.86,4.95,2.15,2.14,2.32,2.38,3.41,3.45
α3标准差,2.60,2.47,3.03,2.86,3.48,4.07,4.64,5.34,7.00,7.86,1.78,1.68,2.33,2.08,4.71,5.27
β均值,5.09,4.97,4.06,3.98,3.44,3.58,3.49,3.66,3.11,3.09,3.10,3.18,2.53,2.43,3.17,3.25
β标准差,3.78,3.86,4.75,4.73,4.35,4.44,4.50,4.38,5.72,4.85,2.58,2.69,3.89,3.66,4.61,4.26
δ均值,4.33,4.38,4.85,4.68,4.20,4.41,4.03,4.07,3.49,3.43,2.96,2.86,2.56,2.51,3.62,3.68
δ标准差,7.23,7.70,7.28,7.54,6.22,6.64,6.52,6.15,5.43,5.50,4.97,5.11,4.86,4.74,5.76,5.56
θ均值,3.91,4.08,4.62,4.66,4.12,4.29,3.94,3.99,4.06,3.93,2.38,2.50,2.11,2.11,3.42,3.48
θ标准差,6.10,6.44,7.90,7.69,6.13,6.73,6.11,5.94,5.30,5.33,3.92,4.10,3.66,3.72,5.21,5.15
α均值,9.95,10.31,11.79,11.79,11.83,12.11,13.24,13.51,16.42,16.66,6.81,6.94,6.58,6.60,10.76,10.95
α标准差,14.03,14.28,17.51,17.02,17.34,18.70,17.81,19.35,21.37,23.01,9.05,9.26,8.44,8.24,16.34,17.53
