,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
β均值,5.09,4.97,4.06,3.98,3.44,3.58,3.49,3.66,3.11,3.09,3.10,3.18,2.53,2.43,3.17,3.25
β标准差,3.78,3.86,4.75,4.73,4.35,4.44,4.50,4.38,5.72,4.85,2.58,2.69,3.89,3.66,4.61,4.26
θ/β均值,0.77,0.82,1.14,1.17,1.20,1.20,1.13,1.09,1.31,1.27,0.77,0.79,0.83,0.87,1.08,1.07
θ/β标准差,1.61,1.67,1.66,1.63,1.41,1.52,1.36,1.36,0.93,1.10,1.52,1.52,0.94,1.02,1.13,1.21
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),5.61,5.82,6.12,6.05,5.43,5.75,5.20,5.17,4.09,4.57,5.33,5.36,3.65,3.91,4.46,4.70
(δ+θ)/(α+β)均值,0.55,0.55,0.60,0.59,0.55,0.55,0.48,0.47,0.39,0.37,0.54,0.53,0.51,0.51,0.50,0.50
(δ+θ)/(α+β)标准差,0.75,0.78,0.68,0.70,0.57,0.58,0.57,0.51,0.40,0.39,0.76,0.77,0.69,0.71,0.52,0.49
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),2.79,2.89,2.64,2.69,2.25,2.29,2.17,2.00,1.58,1.54,2.83,2.84,2.59,2.64,2.08,1.98
δ/α均值,0.43,0.43,0.41,0.40,0.36,0.36,0.30,0.30,0.21,0.21,0.43,0.41,0.39,0.38,0.34,0.34
δ/α标准差,0.52,0.54,0.42,0.44,0.36,0.36,0.37,0.32,0.25,0.24,0.55,0.55,0.58,0.58,0.35,0.32
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),1.98,2.04,1.66,1.73,1.43,1.43,1.40,1.25,0.98,0.92,2.08,2.07,2.12,2.11,1.39,1.29
θ/δ均值,0.90,0.93,0.95,1.00,0.98,0.97,0.98,0.98,1.16,1.15,0.80,0.87,0.82,0.84,0.94,0.95
θ/δ标准差,0.84,0.84,1.08,1.02,0.99,1.01,0.94,0.97,0.98,0.97,0.79,0.80,0.75,0.78,0.90,0.93
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),3.44,3.44,4.21,4.06,3.94,4.01,3.79,3.88,4.09,4.06,3.17,3.28,3.08,3.19,3.66,3.73
δ/θ均值,1.11,1.07,1.05,1.00,1.02,1.03,1.02,1.02,0.86,0.87,1.24,1.14,1.22,1.19,1.06,1.05
δ/θ标准差,1.18,1.20,0.92,0.98,1.01,0.99,1.07,1.03,1.02,1.03,1.27,1.25,1.33,1.28,1.11,1.08
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),4.66,4.66,3.82,3.95,4.06,3.99,4.23,4.12,3.93,3.97,5.05,4.89,5.20,5.02,4.38,4.30
α/β均值,1.95,2.08,2.90,2.97,3.44,3.38,3.80,3.69,5.28,5.39,2.19,2.19,2.60,2.72,3.39,3.37
α/β标准差,3.71,3.70,3.69,3.60,3.99,4.21,3.96,4.42,3.73,4.75,3.51,3.44,2.17,2.25,3.54,4.11
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),13.08,13.18,13.96,13.76,15.41,16.01,15.68,16.96,16.49,19.63,12.74,12.50,9.11,9.48,14.01,15.71
