,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
δ均值,4.10,4.21,4.26,4.36,4.52,4.79,4.12,4.31,4.13,4.41,2.61,2.94,2.26,2.46,2.30,2.52
δ标准差,2.51,2.02,2.50,2.20,2.70,2.57,2.06,2.25,1.79,1.75,1.61,1.39,1.38,1.28,1.44,1.05
θ均值,3.18,3.27,4.22,4.40,4.52,4.82,4.26,4.31,5.13,6.34,2.16,2.33,1.90,2.09,2.28,2.54
θ标准差,2.88,2.39,3.49,3.25,3.71,3.59,3.12,3.08,3.67,4.41,1.78,1.57,1.58,1.46,1.77,1.53
α1均值,3.21,3.32,4.27,4.50,4.59,4.94,4.48,4.51,5.95,7.66,2.22,2.37,1.93,2.11,2.39,2.75
α1标准差,2.65,2.52,3.25,3.24,3.44,3.63,2.81,2.44,3.40,3.70,1.58,1.58,1.16,1.03,1.49,1.18
α2均值,2.47,2.55,3.21,3.27,3.90,3.93,5.44,5.43,9.55,12.11,1.82,1.92,1.80,1.84,2.65,3.23
α2标准差,4.07,4.36,5.90,6.03,7.51,7.54,7.85,7.02,10.89,11.04,2.95,3.11,2.57,2.53,3.57,4.30
α3均值,2.27,2.44,2.90,3.09,3.55,3.65,4.72,4.88,5.86,6.92,1.72,1.94,2.06,2.13,2.51,2.75
α3标准差,1.35,1.53,1.90,1.96,2.98,2.99,5.23,6.66,5.97,7.09,1.11,1.13,1.54,1.45,2.55,2.40
β均值,5.01,5.49,3.98,4.06,3.57,3.83,3.28,3.48,3.22,3.69,2.79,3.08,2.00,2.25,2.21,2.32
β标准差,1.35,1.46,1.95,1.90,2.59,2.74,3.11,3.34,2.55,2.54,1.15,1.16,1.66,1.46,1.59,1.75
δ均值,4.10,4.21,4.26,4.36,4.52,4.79,4.12,4.31,4.13,4.41,2.61,2.94,2.26,2.46,2.30,2.52
δ标准差,2.51,2.02,2.50,2.20,2.70,2.57,2.06,2.25,1.79,1.75,1.61,1.39,1.38,1.28,1.44,1.05
θ均值,3.18,3.27,4.22,4.40,4.52,4.82,4.26,4.31,5.13,6.34,2.16,2.33,1.90,2.09,2.28,2.54
θ标准差,2.88,2.39,3.49,3.25,3.71,3.59,3.12,3.08,3.67,4.41,1.78,1.57,1.58,1.46,1.77,1.53
α均值,7.95,8.30,10.38,10.85,12.05,12.51,14.63,14.83,21.36,26.69,5.76,6.23,5.78,6.08,7.55,8.73
α标准差,8.07,8.41,11.05,11.23,13.94,14.17,15.89,16.11,20.26,21.83,5.64,5.82,5.26,5.02,7.62,7.89
β均值,5.01,5.49,3.98,4.06,3.57,3.83,3.28,3.48,3.22,3.69,2.79,3.08,2.00,2.25,2.21,2.32
β标准差,1.35,1.46,1.95,1.90,2.59,2.74,3.11,3.34,2.55,2.54,1.15,1.16,1.66,1.46,1.59,1.75
