,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
θ/β均值,0.63,0.60,1.06,1.08,1.26,1.26,1.30,1.24,1.59,1.72,0.77,0.76,0.95,0.93,1.03,1.10
θ/β标准差,2.14,1.63,1.79,1.71,1.43,1.31,1.00,0.92,1.44,1.73,1.55,1.34,0.95,1.00,1.11,0.88
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),7.05,5.50,6.44,6.22,5.56,5.18,4.31,4.00,5.91,6.92,5.43,4.79,3.80,3.91,4.37,3.72
(δ+θ)/(α+β)均值,0.56,0.54,0.59,0.59,0.58,0.59,0.47,0.47,0.38,0.35,0.56,0.57,0.53,0.55,0.47,0.46
(δ+θ)/(α+β)标准差,0.57,0.45,0.46,0.42,0.39,0.36,0.27,0.27,0.24,0.25,0.50,0.42,0.43,0.42,0.35,0.27
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),2.28,1.88,1.97,1.83,1.74,1.68,1.29,1.29,1.10,1.11,2.05,1.83,1.82,1.81,1.52,1.26
δ/α均值,0.52,0.51,0.41,0.40,0.37,0.38,0.28,0.29,0.19,0.17,0.45,0.47,0.39,0.41,0.30,0.29
δ/α标准差,0.31,0.24,0.23,0.20,0.19,0.18,0.13,0.14,0.09,0.08,0.28,0.24,0.26,0.25,0.19,0.13
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),1.45,1.23,1.09,0.99,0.96,0.93,0.67,0.71,0.46,0.41,1.31,1.19,1.18,1.17,0.87,0.69
θ/δ均值,0.77,0.78,0.99,1.01,1.00,1.01,1.03,1.00,1.24,1.44,0.83,0.79,0.84,0.85,0.99,1.01
θ/δ标准差,1.15,1.18,1.39,1.48,1.37,1.40,1.51,1.36,2.05,2.53,1.11,1.13,1.14,1.14,1.23,1.46
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),4.22,4.32,5.17,5.45,5.12,5.19,5.57,5.09,7.39,9.02,4.16,4.18,4.26,4.28,4.67,5.40
δ/θ均值,1.29,1.29,1.01,0.99,1.00,0.99,0.97,1.00,0.81,0.70,1.21,1.27,1.19,1.18,1.01,0.99
δ/θ标准差,0.87,0.85,0.72,0.68,0.73,0.72,0.66,0.73,0.49,0.40,0.90,0.89,0.88,0.88,0.82,0.68
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),3.90,3.83,3.16,3.02,3.18,3.14,2.95,3.20,2.27,1.88,3.91,3.92,3.82,3.81,3.45,3.04
α/β均值,1.59,1.51,2.60,2.67,3.37,3.26,4.46,4.26,6.64,7.22,2.07,2.02,2.89,2.70,3.42,3.76
α/β标准差,5.99,5.75,5.68,5.91,5.39,5.17,5.11,4.82,7.94,8.58,4.91,5.00,3.17,3.43,4.78,4.51
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),19.55,18.77,19.64,20.41,19.55,18.76,19.80,18.72,30.46,32.96,16.78,17.02,12.40,12.98,17.76,17.28
